term,category,severity,suggestion,explanation,context_exceptions
rockstar,gender-coded,high,"skilled professional|expert|talented developer",Masculine-coded term that may deter women from applying,
ninja,gender-coded,high,"specialist|expert|proficient developer",Masculine-coded and culturally appropriative term,
guru,gender-coded,medium,"expert|specialist|authority",Masculine-coded term with religious connotations,
dominate,gender-coded,high,"excel in|succeed at|master",Aggressive masculine-coded language,competitive salary|competitive benefits
aggressive,gender-coded,high,"proactive|assertive|driven",Negative connotation with masculine coding,aggressive timeline
competitive,gender-coded,medium,"driven|results-focused|motivated",Masculine-leaning term that can deter women,competitive salary|competitive benefits|competitive compensation
rock star,gender-coded,high,"exceptional professional|outstanding contributor",Same as rockstar - masculine-coded,
superhero,gender-coded,high,"highly capable professional|skilled expert",Unrealistic expectations with masculine coding,
crush it,gender-coded,medium,"excel|succeed|achieve goals",Aggressive masculine-coded language,
hacker,gender-coded,medium,"developer|engineer|programmer",Masculine-coded in tech culture,growth hacker
digital native,ageist,high,"tech-proficient|digitally skilled|comfortable with technology",Discriminates against older workers by implying only young people understand technology,
recent graduate,ageist,high,"early-career professional|emerging talent",Excludes career changers and older workers,
young and energetic,ageist,critical,"enthusiastic|motivated|dynamic",Explicit age discrimination,
new grad,ageist,high,"entry-level professional|early-career candidate",Restrictive age-based language,
tech-savvy,ageist,medium,"comfortable with technology|tech-proficient",Implies older workers lack technical skills,
fast-paced,ageist,medium,"dynamic environment|evolving workplace",Can imply preference for younger workers,fast-paced industry|fast-paced market
fresh perspective,ageist,medium,"new ideas|innovative thinking|novel approach",Subtle age preference for younger workers,
youthful energy,ageist,high,"enthusiasm|passion|vigor",Explicit age-discriminatory language,
mature,ageist,medium,"experienced|seasoned|established",Code word for 'old',mature codebase|mature product
20-something team,ageist,critical,"dynamic team|collaborative team|diverse team",Explicit illegal age requirement,
able-bodied,ableist,high,"person without specific limitations|physical capability when essential",Excludes people with disabilities unless truly job-essential,
perfect vision required,ableist,high,"visual acuity sufficient for task",Only acceptable if genuinely essential for safety,
crazy good,ableist,medium,"exceptionally skilled|outstanding|remarkable",Stigmatizes mental health conditions,
insane attention to detail,ableist,medium,"meticulous|thorough|exceptional attention to detail",Stigmatizes mental health conditions,
OCD about quality,ableist,critical,"detail-oriented|quality-focused|meticulous",Trivializes serious mental illness,
blind to differences,ableist,low,"objective|impartial|unbiased",Ableist metaphor though commonly used,
deaf to criticism,ableist,low,"resistant to feedback|unreceptive",Ableist metaphor,
lame,ableist,medium,"ineffective|poor|weak",Ableist slur,
crippling deadlines,ableist,medium,"tight deadlines|demanding timelines|challenging schedules",Ableist language,
stand for long periods,ableist,medium,"position requires mobility with accommodations available",Excludes people with disabilities unless essential,
culture fit,culture-fit,high,"values alignment|team collaboration|working style compatibility",Promotes homogeneity and excludes diverse backgrounds,
work hard play hard,culture-fit,high,"dedicated and balanced team|collaborative environment",Often implies drinking culture,
like a family,culture-fit,medium,"supportive team environment|collaborative workplace",Can indicate boundary issues,
beer o'clock,culture-fit,critical,"team social events|social activities",Alcohol-centric and exclusionary,
ping pong table,culture-fit,low,"break room|relaxation space|game room",May exclude some demographics but less severe,
bro culture,culture-fit,critical,"collaborative culture|inclusive environment",Explicitly exclusionary language,
office drinks,culture-fit,medium,"team activities|social events|team gatherings",Alcohol-centric culture,
happy hour,culture-fit,medium,"team gathering|social time|team events",Alcohol-centric,
foosball table,culture-fit,low,"recreational space|break area",Similar to ping pong - less severe,
Ivy League preferred,socioeconomic,high,"relevant degree or equivalent experience",Class-based discrimination,
top-tier university,socioeconomic,high,"accredited program|relevant education",Class-based discrimination,
prestigious institution,socioeconomic,high,"accredited university|recognized program",Class-based discrimination,
must have car,socioeconomic,medium,"reliable transportation|valid driver's license",Excludes economic groups,
articulate,racial,medium,"communicates effectively|strong communicator",Has racial undertones when applied to minorities,
professional appearance,racial,medium,"business appropriate attire",Can encode racial bias around hair and dress,
native English speaker,racial,critical,"fluent in English|English proficiency|strong English skills",National origin discrimination,
guys,gender-coded,low,"team|folks|everyone|colleagues",Male default language,
chairman,gender-coded,medium,"chairperson|chair|committee head",Gendered language - use neutral terms,
manpower,gender-coded,medium,"workforce|staff|personnel|human resources",Gendered language,
salesman,gender-coded,medium,"salesperson|sales representative",Gendered job title,
